alpha_xx,alpha_xz,alpha_zx,alpha_zz,delta_theta
1.266275054,-1.578887681,-1.733764572,0.377734655,5.169821808
-1.415307023,1.298656762,-0.7586613043,-1.424512268,2.065899762
1.68388189,-1.337873109,-0.8611196706,-1.385546419,1.82783803
-1.538039745,-1.915407935,-1.778418363,-1.301434116,14.63185018
-1.786472269,0.3645752644,0.7228581072,-0.4254781727,1.883083252
-0.7280356122,0.01810494809,1.500019769,1.404526507,3.901104041
-1.826099752,-1.274006362,-1.053020516,-1.002449697,2.896719156
0.284930607,-0.3349502972,-1.80298352,-0.5055434462,2.896909894
0.09501179487,-1.593312388,1.333834215,-1.792152534,3.299346125
1.699367476,-1.603547434,1.374299806,1.610612576,2.0607084
1.918282722,1.208103521,1.117910163,0.569933104,2.813680552
1.115985418,-1.461791166,0.1442721438,0.05689148076,1.612681737
1.430288576,-0.1488025376,-0.4596420156,0.5582530849,1.633697409
-0.93414673,-1.440926356,-0.08849090391,-0.3324425256,1.570040324
-1.069720238,-0.5299527595,-0.5344302007,-0.6900177423,1.615865184
-0.4821436811,0.7429733818,-0.8124941017,1.795431707,3.291558562
1.665392078,-0.0763582868,-0.68655518,0.1417391593,1.696605624
1.394241955,0.6103493622,1.217567312,0.1308891043,2.031018548
0.5316705171,-0.8473775433,0.9395726492,-1.190381627,2.207601926
0.7791925153,1.442876273,-1.471588651,0.4575189622,2.030486339
-1.619617007,0.9028625131,-1.662027125,1.743759291,14.12662396
-1.45036828,1.835520984,1.203536704,0.3747280179,2.351733244
1.130496419,1.180459356,1.784108251,-0.9864665846,8.670039182
0.3603035814,-1.61980321,0.4646628001,-1.314834784,2.362772546
0.2598024459,0.2897220561,-0.1360593881,0.09052710205,1.062848122
1.05569356,1.196978866,-0.0313871377,0.3983737661,1.556227713
1.724944943,-1.521065646,-1.531585736,-1.649163952,2.654888055
0.6314531402,-0.3255667968,1.097285665,0.6849256532,1.822884996
-0.6654489667,1.593466189,1.050128588,-0.9178602364,2.486599241
-0.5432319289,-0.7422400792,-1.369553406,-1.40886651,3.287141512
1.744509854,-0.2483838512,-0.4667207089,0.9187428347,1.893588617
0.211972261,1.744559947,1.121205976,-0.0825217435,1.125730014
-0.4945621061,1.94652618,0.871040944,1.80477864,9.702171723
-1.526085691,1.402134717,0.548295536,-1.512313287,2.624875171
0.3530319999,0.7443854604,-1.950789256,-0.1827281526,2.598678801
1.301598045,-0.8185638986,-0.1658076728,-0.2307434917,1.279593899
-0.7922904342,1.673767582,1.125176142,-1.557646356,4.391365734
1.988138631,1.516800097,-0.8643662485,1.347586319,2.045355913
-1.574321873,1.996418922,0.6627389444,0.6005000622,2.358736885
-1.638237092,1.588133596,-1.884001987,-1.036687768,2.166810975
-1.427912499,1.107071763,-1.207183091,1.642552909,5.412250998
0.6250761573,-1.855349158,-1.978280663,-1.793368332,4.499361581
0.4237007106,1.205927243,-1.045788717,1.397635372,2.277962455
-1.771072239,1.203855415,1.711181721,1.088433596,43.44297951
0.7924831359,1.351920875,-1.839394802,-1.192871557,3.436896654
-1.500305283,0.01812396077,0.9807525133,0.5200473783,1.787208017
