theta,alpha_xx_opt,alpha_xz_opt,alpha_zx_opt,alpha_zz_opt,best_delta_theta,sql,ratio,expectation_Jz,variance_Jz,d_exp_d_theta,n_converged
4,-5.176333403,1.715663731,-6.588459308,6.151336644,0.07874138856,0.1,0.7874138856,-0.453217881,0.04459355239,-2.68184063,20
4.1,5.895744905,-5.733401518,-3.504495423,9.849364469,0.08059491872,0.1,0.8059491872,0.278855203,0.1722397758,-5.149428876,23
4.2,-0.7549558485,1.297013631,-6.073732952,8.181124571,0.06971892367,0.1,0.6971892367,-0.1356330705,0.2316036702,6.902748414,30
4.3,-2.131347001,-1.080398288,-7.135896846,7.522827956,0.07346458709,0.1,0.7346458709,-0.4937386783,0.006222117507,1.073720052,27
4.4,-2.182159285,1.292433267,-7.080491195,8.383495279,0.07125557944,0.1,0.7125557944,0.2483359226,0.1883292695,6.090318917,22
4.5,5.301128461,0.6085538561,7.886143587,6.29383544,0.07943743721,0.1,0.7943743721,-0.4489227002,0.04846840926,-2.771431562,20
4.6,-0.5228834856,-0.6988371987,14.66436834,12.63659273,0.07572577587,0.1,0.7572577587,-0.1442762863,0.2291843532,-6.321916428,22
4.7,0.1833438658,1.140613005,8.175631711,6.414999668,0.07278630448,0.1,0.7278630448,-0.4058775025,0.085263453,4.011730853,32
4.8,1.957485114,-2.735514917,1.235930084,8.339776096,0.07645556819,0.1,0.7645556819,0.4820626737,0.01761557863,1.735958491,25
4.9,-0.2019011422,1.597542066,-11.08900285,8.485451473,0.07465416538,0.1,0.7465416538,-0.367487222,0.1149531417,-4.541573828,29
5,-3.118588227,8.294011804,-8.896520414,9.514400133,0.08399060038,0.1,0.8399060038,0.1505396945,0.2273378004,5.676820226,34
