a_x,a_y,a_z,a_zz,delta_theta,theta_value,sql,T_H
0.2027511474,2.998704108,-1.855493083,3.373823623,0.05173032388,0.6,0.1,10
-0.05858353483,-3.841432757,-4.279408529,3.41993211,0.04724221882,0.6,0.1,10
-4.444320831,-2.193885639,-1.658699595,-3.270055548,0.1620814495,0.6,0.1,10
-1.861066302,2.426925667,-4.853171564,3.271734245,1.061910645,0.6,0.1,10
3.565480236,-1.277384268,-3.463871009,1.008404079,0.4896299685,0.6,0.1,10
-3.803274441,-1.350806389,4.584291809,4.954644726,0.2904559134,0.6,0.1,10
2.721048914,-1.890384901,1.876650492,2.054063655,0.08592435726,0.6,0.1,10
-1.121583048,1.408886346,-4.89272355,-2.909423414,0.1476097408,0.6,0.1,10
0.2508830297,-3.362486957,-3.340931321,3.363042906,0.08005280764,0.6,0.1,10
4.891330027,0.5596942803,3.390697309,4.903216643,0.05510562571,0.6,0.1,10
-3.584041114,-0.5175438675,-1.074272842,-4.199507164,0.8867399775,0.6,0.1,10
2.553301728,-0.6622097268,-0.3067306581,-3.493270262,0.4324609488,0.6,0.1,10
-3.190733478,4.071036222,-4.55350911,-2.671477151,0.2355623986,0.6,0.1,10
-2.079406697,-0.09802457598,0.8644517301,-0.06710024149,0.1076536724,0.6,0.1,10
-4.158846654,-2.563325459,3.435883848,1.375887005,0.1224785978,0.6,0.1,10
1.491490501,1.702032554,2.62903019,-4.418915183,0.5526669195,0.6,0.1,10
-1.333916151,0.3952743526,-1.615435167,3.444788733,0.06495697016,0.6,0.1,10
-0.1742749141,2.686275895,3.520155169,0.04791482903,0.1324790063,0.6,0.1,10
4.095522439,0.8712394054,3.502742988,-1.594092044,0.2313036407,0.6,0.1,10
-0.01183041469,0.31411041,-3.950202841,-1.014474933,0.100409531,0.6,0.1,10
4.173376726,1.308322404,-3.224934176,-1.611443644,0.2066367722,0.6,0.1,10
-3.083969903,-4.751768682,4.274604585,-0.5179267174,0.1832877724,0.6,0.1,10
-1.924649276,0.9847719156,-4.926855437,-2.219778934,0.1005722122,0.6,0.1,10
2.030334657,1.337697731,4.818059475,1.203577097,0.1137842213,0.6,0.1,10
-0.2249412637,2.614325632,4.03327872,2.206959467,0.2065702277,0.6,0.1,10
4.632112235,2.820051707,3.668014383,-3.858959288,0.7687956113,0.6,0.1,10
2.32413503,-0.5991130047,0.5310380241,1.541024095,0.2905777846,0.6,0.1,10
4.698151167,4.845780814,-2.117717545,2.337534974,0.1728192679,0.6,0.1,10
2.499835379,-1.535071387,-3.761302251,-4.590530397,0.06879495142,0.6,0.1,10
2.773431275,-0.1030025818,4.855401695,-0.3502654381,0.1134094575,0.6,0.1,10
4.779169791,-0.8842399781,2.936821506,-4.151807277,0.06048340887,0.6,0.1,10
0.5546171014,3.02059787,4.247016672,3.225830906,0.1452305221,0.6,0.1,10
